Portfolio,NSE,DEEPAKNTR,DEEPAKNTR.NS,0
Watchlist,NSE,DMART,DMART.NS,0
Watchlist,NSE,SIEMENS,SIEMENS.NS,0
Watchlist,NSE,JUBLFOOD,JUBLFOOD.NS,0
Watchlist,NSE,TATACHEM,TATACHEM.NS,1
Watchlist,NSE,ZEEL,ZEEL.NS,1
Watchlist,NSE,APOLLOTYRE,APOLLOTYRE.NS,1
Watchlist,NSE,TATACONSUM,TATACONSUM.NS,1
Watchlist,NSE,LUPIN,LUPIN.NS,1
Watchlist,NSE,HAVELLS,HAVELLS.NS,1
Watchlist,NSE,OBEROIRLTY,OBEROIRLTY.NS,1
Watchlist,NSE,DIXON,DIXON.NS,1
Portfolio,NSE,CESC,CESC.NS,1
Watchlist,NSE,COFORGE,COFORGE.NS,1
Portfolio,NSE,ABB,ABB.NS,1
Watchlist,NSE,MINDACORP,MINDACORP.NS,1
Watchlist,NSE,SUZLON,SUZLON.NS,1
Watchlist,NSE,PAYTM,PAYTM.NS,1
Watchlist,NSE,GAIL,GAIL.NS,1
Watchlist,NSE,COROMANDEL,COROMANDEL.NS,1
Watchlist,NSE,HINDPETRO,HINDPETRO.NS,1
Watchlist,NSE,ICICIGI,ICICIGI.NS,1
Watchlist,NSE,BHARATFORG,BHARATFORG.NS,1
Watchlist,NSE,OIL,OIL.NS,1
Watchlist,NSE,AMBUJACEM,AMBUJACEM.NS,1
Watchlist,NSE,AUROPHARMA,AUROPHARMA.NS,1
Watchlist,NSE,BEL,BEL.NS,1
Watchlist,NSE,BALKRISIND,BALKRISIND.NS,1
Watchlist,NSE,BANKBARODA,BANKBARODA.NS,1
Watchlist,NSE,BPCL,BPCL.NS,1
Watchlist,NSE,BERGEPAINT,BERGEPAINT.NS,1
Watchlist,NSE,CHOLAFIN,CHOLAFIN.NS,1
Watchlist,NSE,DABUR,DABUR.NS,1
Watchlist,NSE,GODREJPROP,GODREJPROP.NS,1
Watchlist,NSE,GRASIM,GRASIM.NS,1
Watchlist,NSE,HEROMOTOCO,HEROMOTOCO.NS,1
Watchlist,NSE,INDUSINDBK,INDUSINDBK.NS,1
Watchlist,NSE,NAUKRI,NAUKRI.NS,1
Watchlist,NSE,KOTAKBANK,KOTAKBANK.NS,1
Watchlist,NSE,MARICO,MARICO.NS,1
Watchlist,NSE,MARUTI,MARUTI.NS,1
Watchlist,NSE,MINDTREE,MINDTREE.NS,1
Watchlist,NSE,PAGEIND,PAGEIND.NS,1
Watchlist,NSE,PGHH,PGHH.NS,1
Watchlist,NSE,PEL,PEL.NS,1
Watchlist,NSE,PNB,PNB.NS,1
Watchlist,NSE,POWERGRID,POWERGRID.NS,1
Watchlist,NSE,SRTRANSFIN,SRTRANSFIN.NS,1
Watchlist,NSE,SHREECEM,SHREECEM.NS,1
Watchlist,NSE,SRF,SRF.NS,1
Watchlist,NSE,TECHM,TECHM.NS,1
Watchlist,NSE,UBL,UBL.NS,1
Watchlist,NSE,UPL,UPL.NS,1
Watchlist,NSE,VOLTAS,VOLTAS.NS,1
Watchlist,NSE,KRBL,KRBL.NS,1
