Sector,Symbol,Rule,Trend,Price,PreviousClose,52WeekHigh,52WeekLow,TrailingPE,ForwardPE,pegRatio,PriceToBook,EarningsQuarterlyGrowth,Institutions_pct,Earning_Date,Reco_4_hrs,Reco_Daily,Reco_Daily_last,Reco_Weekly,RSI,MACD,PAR,Stoch_K,Stoch_D,ADX,CCI20,AO,Mom,MACD_macd,MACD_signal,UO,P_SAR,TrailingEps,ForwardEps,Stock,Category,LotSize,ShortInterest,RecommdationMean,FutureLotValue,RecommadationKey,totalCashPerShare,earningsGrowth,currentRatio,returnOnAssets,returnOnEquity,debtToEquity,quickRatio
Technology,WIPRO,NEUTRAL,STRONG_SELL,420.4,422.0,739.85,402.05,19.268494,21.503838,2.16,3.6945899,0.039,0.13852,,SELL - 6|11|9,SELL - 4|13|9,STRONG_SELL - 1|16|9,SELL - 6|12|8,Bearish : 44.93,BUY,BUY,Bullish : 47.88,Bullish : 44.2,Weak Trend : 20.19,Neutral : -0.23,Bearish : -8.02,Bearish : -4.65,Bearish : -4.79,Bearish : -6.37,49.86,412.17,21.818,19.55,WIPRO LTD,Portfolio,1600,,3.7,672640.0,underperform,63.116,0.046,2.013,0.088929996,0.20165001,26.71,1.766
Healthcare,CIPLA,NEUTRAL,STRONG_SELL,936.25,949.3,1083.0,850.0,29.211258,22.560242,1.03,3.8864834,-0.026,0.31983,2022-01-27 00:00:00,SELL - 6|11|9,SELL - 2|15|9,BUY - 14|3|9,SELL - 7|11|8,Neutral : 49.14,BUY,SELL,Bullish : 55.91,Bullish : 52.31,Weak Trend : 13.41,Neutral : 16.34,Bearish : -6.95,Bullish : 3.05,Bearish : -3.0,Bearish : -4.81,47.76,956.05,32.051,41.5,CIPLA LTD,Portfolio,650,,1.8,608562.5,buy,44.233,-0.026,,,,6.864,
Consumer Cyclical,TATAMOTORS,NEUTRAL,STRONG_SELL,409.15,412.7,536.7,268.45,,,,2.8355694,,0.19482,,SELL - 6|10|10,SELL - 2|14|10,SELL - 6|10|10,SELL - 7|11|8,Neutral : 49.12,BUY,SELL,Bullish : 43.05,Bullish : 50.58,Weak Trend : 12.58,Neutral : -1.49,Bullish : 3.17,Bearish : -3.95,Bullish : 0.39,Bullish : 0.05,45.26,422.72,-36.987,,TATA MOTORS LTD.,Portfolio,2850,,,1166077.5,none,136.598,,,,,320.09,
Industrials,BEL,STRONG_SELL,SELL,229.25,229.8,259.5,162.35,24.362381,28.337454,2.27,4.876,1.143,0.33581,2019-10-24 00:00:00,SELL - 5|12|9,SELL - 5|12|9,SELL - 4|12|10,BUY - 13|4|9,Bearish : 43.22,SELL,SELL,Bullish : 20.02,Bullish : 26.84,Weak Trend : 14.85,Bearish : -60.49,Bearish : -3.69,Bearish : -10.7,Bearish : -1.4,Bearish : -1.02,34.47,239.69,9.41,8.09,BHARAT ELECTRONICS,Watchlist,1,,1.8,229.25,buy,,1.149,,,,,
Basic Materials,TATACHEM,NEUTRAL,SELL,801.4,795.35,1158.0,729.65,29.96224,16.2424,2.27,1.247725,,0.26947,,SELL - 5|11|10,SELL - 5|11|10,STRONG_SELL - 1|17|8,NEUTRAL - 8|10|8,Bearish : 39.15,BUY,SELL,Bullish : 48.76,Bullish : 41.19,Strong Trend : 31.6,Neutral : -27.3,Bearish : -41.27,Bearish : -10.0,Bearish : -18.15,Bearish : -22.19,51.22,821.33,26.747,49.34,TATA CHEMICALS,Watchlist,1,,2,801.4,buy,,,,,,,
Basic Materials,HINDCOPPER,NEUTRAL,STRONG_SELL,87.3,88.35,159.4,81.2,64.71461,,,7.4127536,0.587,0.16173,,SELL - 5|11|10,SELL - 2|14|10,STRONG_SELL - 1|16|9,SELL - 4|13|9,Bearish : 44.05,BUY,SELL,Bullish : 54.05,Bullish : 56.58,Weak Trend : 23.24,Neutral : -4.24,Bearish : -3.3,Bullish : 0.5,Bearish : -1.59,Bearish : -2.08,53.08,90.33,1.349,,HINDUSTAN COPPER,Portfolio,0,,,0.0,none,,0.523,,,,,
Technology,TECHM,NEUTRAL,STRONG_SELL,1001.75,1010.7,1838.0,943.7,17.43842,13.722603,2.16,3.49629,0.045,0.35395,2022-04-25 00:00:00,SELL - 5|11|10,SELL - 1|15|10,STRONG_SELL - 1|16|9,SELL - 5|13|8,Neutral : 45.45,BUY,SELL,Bullish : 57.45,Bullish : 58.81,Weak Trend : 22.29,Neutral : 10.28,Bearish : -5.06,Bearish : -2.9,Bearish : -8.61,Bearish : -13.18,48.52,1026.67,57.445,73,TECH MAHINDRA,Watchlist,1,,1.7,1001.75,buy,129.343,0.04,,,,10.218,
Consumer Cyclical,TITAN,NEUTRAL,SELL,1961.0,1946.2,2768.0,1662.5,99.36157,121.87694,1.96,22.381502,0.912,0.18136999,2019-05-06 00:00:00,SELL - 5|11|10,SELL - 1|15|10,SELL - 1|15|10,NEUTRAL - 9|10|7,Bearish : 43.09,BUY,SELL,Bullish : 49.69,Bullish : 39.46,Strong Trend : 26.4,Neutral : -44.47,Bearish : -91.41,Bearish : -84.0,Bearish : -36.04,Bearish : -36.88,56.6,2051.05,19.736,16.09,TITAN COMPANY LTD,Watchlist,375,,2.2,735375.0,buy,28.41,0.91,,,,81.416,
ANDHRA PETROCHEMICALS LTD.,ANDHRAPET,NEUTRAL,STRONG_SELL,77.95,77.55,79.5,14.7,,,,,,,,SELL - 4|14|8,SELL - 2|14|10,STRONG_SELL - 0|16|10,SELL - 7|12|7,Bearish : 38.48,BUY,SELL,Oversold : 19.64,Bullish : 27.97,Strong Trend : 26.56,Bearish : -81.0,Bearish : -1.96,Bearish : -0.45,Bearish : -1.35,Bearish : -1.66,39.34,81.81,,,ANDHRA PETROCHEMICALS LTD.,Watchlist,0,,,0.0,none,,,,,,,
Financial Services,BANKBARODA,SELL,SELL,98.1,96.95,122.7,72.5,12.702317,4.453018,0.17,0.59003973,1.06,0.18306999,,SELL - 4|13|9,SELL - 5|11|10,STRONG_SELL - 0|16|10,NEUTRAL - 8|10|8,Neutral : 48.56,SELL,SELL,Bullish : 41.84,Bullish : 38.08,Weak Trend : 11.6,Neutral : 0.17,Bearish : -1.03,Bearish : -1.85,Bearish : -0.22,Bearish : -0.18,41.93,101.91,7.723,22.03,BK OF BARODA,Watchlist,1,,2,98.1,buy,91.594,0.838,,0.00418,0.061300002,,
