Sector,Symbol,Rule,Trend,Price,PreviousClose,52WeekHigh,52WeekLow,TrailingPE,ForwardPE,pegRatio,PriceToBook,EarningsQuarterlyGrowth,Institutions_pct,Earning_Date,Reco_4_hrs,Reco_Daily,Reco_Daily_last,Reco_Weekly,RSI,MACD,PAR,Stoch_K,Stoch_D,ADX,CCI20,AO,Mom,MACD_macd,MACD_signal,UO,P_SAR,TrailingEps,ForwardEps,Stock,Category,LotSize,ShortInterest,RecommdationMean,FutureLotValue,RecommadationKey,totalCashPerShare,earningsGrowth,currentRatio,returnOnAssets,returnOnEquity,debtToEquity,quickRatio
Basic Materials,PIIND,STRONG_BUY,BUY,2630.0,2580.6,3534.9,2333.55,50.3253,74.02196,4.01,6.948738,0.139,0.31527,,BUY - 15|2|9,BUY - 13|4|9,SELL - 2|16|8,NEUTRAL - 8|10|8,Bullish  : 57.99,BUY,SELL,Bullish : 61.38,Bullish : 54.42,Weak Trend : 14.56,Bullish  : 91.57,Bullish : 17.59,Bullish : 13.75,Bullish : 7.2,Bullish : 1.75,56.12,2640.07,52.26,35.53,PI INDUSTRIES,Portfolio,250,,1.9,657500.0,buy,156.276,0.144,,,,6.069,
Basic Materials,AMBUJACEM,STRONG_BUY,STRONG_BUY,369.75,367.55,442.5,274.0,22.797337,,,3.005009,-0.304,0.22764,,BUY - 15|1|10,STRONG_BUY - 16|0|10,NEUTRAL - 8|10|8,BUY - 15|1|10,Bullish  : 65.55,BUY,BUY,Overbrought : 92.17,Overbrought : 88.8,Weak Trend : 17.31,Bullish  : 121.13,Bullish : 4.23,Bullish : 4.4,Bullish : 1.74,Bullish : 0.95,64.56,362.26,16.219,,AMBUJA CEMENTS LTD,Watchlist,1,,,369.75,none,57.254,-0.304,,,,1.466,
Financial Services,SRTRANSFIN,STRONG_BUY,STRONG_BUY,1268.8,1265.7,1696.4,1002.0,13.255605,,,1.3762642,0.442,0.41647997,,BUY - 15|1|10,BUY - 15|2|9,SELL - 4|12|10,BUY - 13|3|10,Bullish  : 65.0,BUY,BUY,Bullish : 70.78,Bullish : 73.0,Strong Trend : 28.91,Bullish  : 77.5,Bullish : 72.37,Bullish : 16.85,Bullish : 25.86,Bullish : 24.17,50.75,1246.72,95.718,,SHRIRAM TRANSPORT,Watchlist,1,,,1268.8,none,612.054,0.313,6.035,0.02,0.11383,356.006,6.022
Consumer Defensive,MARICO,STRONG_BUY,BUY,500.5,491.2,607.7,455.65,54.195995,64.08451,3.65,16.410913,0.01,0.29828,,BUY - 14|5|7,BUY - 10|6|10,BUY - 13|4|9,NEUTRAL - 7|9|10,Bullish  : 61.6,BUY,BUY,Overbrought : 92.59,Overbrought : 84.28,Weak Trend : 21.54,Overbought : 240.31,Bullish : 3.35,Bullish : 17.4,Bullish : 0.31,Bearish : -2.64,59.35,474.06,9.235,7.81,MARICO LTD,Watchlist,1,,2.6,500.5,hold,13.951,0.008,,,,11.931,
Financial Services,IDFC,STRONG_BUY,BUY,52.9,51.0,70.2,41.65,,11.279318,,0.97181916,,0.28989,,BUY - 14|4|8,BUY - 12|6|8,STRONG_SELL - 0|16|10,NEUTRAL - 8|8|10,Bullish  : 74.72,BUY,BUY,Overbrought : 90.89,Overbrought : 92.02,Strong Trend : 25.32,Bullish  : 138.23,Bullish : 3.54,Bullish : 3.55,Bullish : 1.29,Bullish : 0.75,61.32,49.66,-1.948,4.69,IDFC LIMITED,Portfolio,0,,1,0.0,strong_buy,0.337,,,,,0.453,
Healthcare,TORNTPHARM,STRONG_BUY,STRONG_BUY,2915.0,2916.95,3298.5,2484.15,38.9508,,,7.95047,-0.162,0.14096,,BUY - 14|3|9,BUY - 16|2|8,SELL - 5|11|10,BUY - 15|2|9,Bullish  : 63.55,BUY,BUY,Bullish : 78.92,Bullish : 79.47,Strong Trend : 31.03,Bullish  : 138.13,Bullish : 56.76,Bullish : 56.15,Bullish : 25.26,Bullish : 19.08,54.37,2842.36,74.838,,TORRENT PHARM,Watchlist,250,,,728750.0,none,38.445,-0.158,,,,70.542,
Healthcare,ABBOTINDIA,STRONG_BUY,STRONG_BUY,18990.05,19100.4,23934.45,15514.0,56.224834,,,16.751661,0.125,0.06627,,BUY - 14|3|9,BUY - 14|5|7,BUY - 13|4|9,STRONG_BUY - 16|1|9,Bullish  : 64.87,BUY,BUY,Overbrought : 87.45,Overbrought : 86.21,Strong Trend : 42.71,Bullish  : 113.14,Bullish : 773.54,Bullish : 966.2,Bullish : 291.44,Bullish : 204.95,54.83,18322.05,337.752,,ABBOTT INDIA LTD,Watchlist,0,,,0.0,none,1068.235,0.125,,,,6.697,
Industrials,FINCABLES,NEUTRAL,NEUTRAL,380.5,378.4,608.6,343.5,10.651103,13.701837,,1.6275011,-0.027,0.26438,,BUY - 14|2|10,SELL - 4|13|9,STRONG_SELL - 0|17|9,SELL - 4|12|10,Bullish  : 56.24,BUY,BUY,Bullish : 67.7,Bullish : 67.55,Weak Trend : 16.08,Bullish  : 56.89,Bullish : 5.93,Bearish : -4.5,Bullish : 2.34,Bullish : 1.63,52.59,371.88,35.724,27.77,FINOLEX CABLES,Watchlist,0,,,0.0,none,115.822,-0.027,,,,0.165,
Financial Services,SBIN,NEUTRAL,NEUTRAL,472.05,466.85,549.0,401.25,14.703317,9.272244,0.41,1.440468,0.527,0.26386,2022-02-02 00:00:00,BUY - 14|2|10,SELL - 2|15|9,STRONG_SELL - 0|17|9,BUY - 10|7|9,Bullish  : 63.94,BUY,BUY,Overbrought : 94.75,Overbrought : 91.98,Weak Trend : 18.44,Bullish  : 123.04,Bullish : 13.26,Bullish : 10.3,Bullish : 4.11,Bullish : 2.47,61.51,459.36,32.105,50.91,STATE BK OF INDIA,Portfolio,1500,,1.4,708075.0,strong_buy,210.977,0.528,,0.00681,0.11249,,
Financial Services,ICICIBANK,NEUTRAL,NEUTRAL,718.1,703.9,867.0,633.8,23.86507,18.927254,1.03,2.9519243,0.58,0.53072,,BUY - 14|2|10,SELL - 2|14|10,SELL - 4|12|10,BUY - 11|7|8,Bullish  : 56.99,BUY,SELL,Bullish : 62.78,Bullish : 53.19,Weak Trend : 15.22,Bullish  : 96.73,Bullish : 7.29,Bearish : -0.25,Bullish : 1.56,Bearish : -0.02,62.8,722.13,30.09,37.94,ICICI BANK,Portfolio,1375,,1.4,987387.5,strong_buy,263.496,0.579,,0.01595,0.14942001,,
Financial Services,HDFCLIFE,NEUTRAL,NEUTRAL,574.55,565.45,775.65,497.05,100.253006,91.19841,,13.034896,0.586,0.29313,,BUY - 14|2|10,NEUTRAL - 10|7|9,BUY - 12|4|10,NEUTRAL - 8|9|9,Bullish  : 56.92,BUY,BUY,Overbrought : 92.93,Bullish : 75.69,Weak Trend : 22.54,Bullish  : 159.35,Bearish : -3.9,Bullish : 15.6,Bearish : -1.72,Bearish : -4.87,64.87,539.64,5.731,6.3,HDFC LIFE INSURANC,Watchlist,1100,,3.3,632005.0,hold,6.737,0.563,0.905,0.00453,0.10942,3.843,0.198
Consumer Cyclical,PAGEIND,STRONG_BUY,STRONG_BUY,41940.0,41375.8,46737.7,29767.5,106.15007,73.14393,3.32,46.727825,0.136,0.31666002,2022-02-08 00:00:00,BUY - 14|2|10,BUY - 14|2|10,SELL - 2|15|9,BUY - 11|6|9,Bullish  : 65.16,BUY,BUY,Overbrought : 92.08,Overbrought : 86.47,Weak Trend : 19.69,Bullish  : 153.54,Bullish : 828.26,Bullish : 1755.0,Bullish : 212.65,Bearish : -77.1,61.44,39063.72,395.101,573.39,PAGE INDUSTRIES LT,Watchlist,1,,2.9,41940.0,hold,482.198,0.136,,,,11.357,
Consumer Cyclical,JUBLFOOD,BUY,BUY,540.75,541.45,918.0,451.2,17.004717,18.556967,,4.1698475,0.078,0.31846002,,BUY - 14|2|10,BUY - 13|5|8,STRONG_SELL - 0|16|10,NEUTRAL - 9|8|9,Bullish  : 58.72,BUY,SELL,Overbrought : 83.02,Bullish : 72.12,Weak Trend : 14.17,Bullish  : 90.61,Bullish : 8.92,Bearish : -1.75,Bullish : 4.44,Bullish : 2.76,66.16,545.0,31.8,29.14,JUBILANT FOODWORKS,Watchlist,0,,2.2,0.0,buy,8.747,0.078,,,,99.827,
Consumer Defensive,DABUR,STRONG_BUY,BUY,526.35,511.25,658.95,482.25,51.5524,43.14344,3.51,11.444132,0.023,0.17056999,2022-01-27 00:00:00,BUY - 14|2|10,BUY - 12|5|9,STRONG_SELL - 0|17|9,NEUTRAL - 7|9|10,Bullish  : 65.62,BUY,BUY,Overbrought : 89.12,Bullish : 67.58,Weak Trend : 15.86,Bullish  : 192.96,Bullish : 6.06,Bullish : 10.7,Bullish : 3.56,Bullish : 1.79,63.54,492.69,10.21,12.2,DABUR INDIA LTD,Watchlist,1,,2.1,526.35,buy,9.075,0.022,,,,10.008,
Basic Materials,PIDILITIND,STRONG_BUY,BUY,2204.95,2158.35,2764.7,1988.55,83.511345,108.88641,,19.333527,-0.189,0.16213,,BUY - 14|2|10,BUY - 11|5|10,SELL - 2|15|9,NEUTRAL - 8|9|9,Bullish  : 63.95,BUY,BUY,Overbrought : 87.16,Bullish : 67.7,Weak Trend : 19.08,Bullish  : 169.14,Bullish : 27.42,Bullish : 65.6,Bullish : 11.28,Bullish : 1.46,58.17,2084.84,26.403,20.25,PIDILITE INDUSTRIE,Portfolio,500,,2.8,1102475.0,hold,10.866,-0.189,,,,12.703,
Basic Materials,ACC,STRONG_BUY,BUY,2167.4,2167.1,2589.0,1900.0,19.863628,18.000164,1.53,2.9969869,-0.296,0.22924,2022-04-18 00:00:00,BUY - 13|6|7,BUY - 11|7|8,SELL - 3|14|9,NEUTRAL - 10|7|9,Bullish  : 63.52,BUY,BUY,Overbrought : 86.1,Overbrought : 88.83,Strong Trend : 31.05,Bullish  : 115.09,Bullish : 42.63,Bullish : 56.0,Bullish : 13.75,Bullish : 5.35,55.8,2136.06,109.114,120.41,ACC LIMITED,Portfolio,500,,1.7,1083700.0,buy,392.293,-0.296,,,,0.877,
Financial Services,AXISBANK,NEUTRAL,NEUTRAL,652.0,643.95,866.9,618.25,20.039957,,,1.824153,0.502,0.64606005,,BUY - 13|4|9,SELL - 3|13|10,SELL - 2|15|9,SELL - 6|13|7,Bullish  : 57.76,BUY,BUY,Overbrought : 93.46,Overbrought : 84.91,Weak Trend : 15.47,Bullish  : 177.77,Bullish : 2.49,Bullish : 14.5,Bearish : -0.64,Bearish : -3.66,57.37,625.04,32.535,,AXIS BANK,Watchlist,1200,,,782400.0,none,366.194,0.498,,0.01288,0.12782,,
Financial Services,CHOLAFIN,STRONG_BUY,BUY,652.6,640.35,768.0,469.25,33.65305,,,5.11438,0.288,0.32286,,BUY - 13|4|9,BUY - 12|4|10,SELL - 3|15|8,NEUTRAL - 10|7|9,Bullish  : 58.32,BUY,BUY,Bullish : 75.91,Bullish : 59.26,Weak Trend : 13.15,Bullish  : 136.19,Bullish : 2.61,Bullish : 19.35,Bullish : 1.05,Bearish : -1.47,60.66,616.82,19.392,,CHOLAMANDALAM INV,Watchlist,1,,,652.6,none,48.639,0.284,,,,596.112,
Financial Services,HDFC,NEUTRAL,NEUTRAL,2212.5,2210.55,3021.1,2026.0,19.395985,37.723785,1.81,2.4431612,0.128,0.60731,2019-07-29 00:00:00,BUY - 13|3|10,NEUTRAL - 10|7|9,BUY - 10|6|10,SELL - 3|14|9,Bullish  : 57.1,BUY,BUY,Overbrought : 80.91,Bullish : 70.79,Weak Trend : 10.78,Bullish  : 152.61,Bullish : 36.82,Bullish : 23.65,Bullish : 7.54,Bullish : 1.72,59.3,2134.92,114.07,58.65,HOUSING DEVEL FIN,Portfolio,300,,1.9,663750.0,buy,35.661,0.106,,,,,
Consumer Defensive,EIDPARRY,STRONG_BUY,STRONG_BUY,521.95,526.75,576.0,377.3,19.468483,,,1.8751976,1.138,0.08478,,BUY - 13|3|10,BUY - 14|2|10,SELL - 6|11|9,BUY - 15|1|10,Neutral : 51.8,BUY,BUY,Bullish : 71.2,Bullish : 73.4,Weak Trend : 14.37,Bullish  : 54.41,Bullish : 9.63,Bullish : 7.85,Bullish : 2.97,Bullish : 0.6,49.04,506.29,26.81,,E.I.D.-PARRY(INDIA,Portfolio,0,,2,0.0,buy,43.991,1.142,,,,23.393,
Consumer Defensive,PGHH,STRONG_BUY,BUY,13696.1,13394.05,16448.7,12310.1,72.14891,81.76288,3.21,62.243397,0.046,0.13713999,2019-08-20 00:00:00,BUY - 13|3|10,BUY - 13|4|9,SELL - 3|13|10,NEUTRAL - 8|9|9,Bullish  : 62.6,BUY,BUY,Overbrought : 89.58,Bullish : 72.03,Weak Trend : 24.05,Overbought : 293.1,Bullish : 87.18,Bullish : 296.1,Bullish : 20.79,Bearish : -36.66,54.2,13133.36,189.831,167.51,PROCTER&GAMBLE IND,Watchlist,1,,2,13696.1,buy,308.721,0.046,,,,0.009,
Consumer Cyclical,CROMPTON,STRONG_BUY,BUY,350.0,349.85,512.8,312.0,33.885178,47.748978,,10.675614,-0.019,0.72634006,,BUY - 12|7|7,STRONG_BUY - 16|1|9,STRONG_SELL - 0|16|10,SELL - 5|11|10,Bullish  : 60.01,BUY,BUY,Overbrought : 87.64,Overbrought : 89.55,Weak Trend : 16.45,Bullish  : 104.08,Bullish : 13.65,Bullish : 4.9,Bullish : 3.96,Bullish : 2.36,57.12,340.12,10.329,7.33,CROMPTON GREAVES C,Watchlist,0,,1.8,0.0,buy,19.125,-0.021,,,,17.095,
Healthcare,LALPATHLAB,NEUTRAL,NEUTRAL,2207.75,2239.25,4245.5,1805.55,45.26768,75.14466,2.03,13.311326,-0.394,0.24240999,,BUY - 12|6|8,SELL - 1|15|10,STRONG_SELL - 0|16|10,SELL - 5|11|10,Bullish  : 63.14,BUY,BUY,Overbrought : 87.92,Overbrought : 90.22,Strong Trend : 30.7,Bullish  : 84.16,Bullish : 129.85,Bullish : 106.15,Bullish : 45.16,Bullish : 30.7,55.33,2104.51,48.771,29.38,DR LAL PATHLABS LT,Portfolio,250,,2.3,551937.5,buy,136.157,-0.395,,,,10.96,
Basic Materials,INDIACEM,NEUTRAL,NEUTRAL,160.6,161.1,259.95,145.45,25.52042,23.548388,,0.96221256,-0.761,0.20546,,BUY - 12|6|8,NEUTRAL - 8|10|8,STRONG_SELL - 0|16|10,SELL - 4|12|10,Neutral : 54.32,BUY,SELL,Bullish : 69.01,Bullish : 63.55,Weak Trend : 16.77,Bullish  : 88.76,Bullish : 1.71,Bullish : 1.95,Bullish : 0.23,Bearish : -0.45,47.06,163.17,6.293,6.82,INDIA CEMENTS,Watchlist,0,,3.7,0.0,underperform,0.243,-0.893,,,,52.737,
Financial Services,MUTHOOTFIN,STRONG_BUY,BUY,1061.05,1042.65,1721.95,960.4,10.637199,20.057657,,2.5447652,0.035,0.15281,,BUY - 12|6|8,BUY - 11|6|9,STRONG_SELL - 1|16|9,SELL - 4|12|10,Bullish  : 63.16,BUY,BUY,Bullish : 79.52,Bullish : 79.38,Strong Trend : 31.52,Overbought : 201.35,Bullish : 11.81,Bullish : 61.0,Bearish : -0.71,Bearish : -13.1,57.39,972.63,99.749,52.9,MUTHOOT FINANCE LT,Portfolio,750,,1.9,795787.5,buy,234.475,0.035,63.708,0.05789,0.24811001,289.733,63.708
Technology,DIXON,NEUTRAL,NEUTRAL,3610.3,3595.7,6243.6,3180.55,116.41623,33.734818,,25.367393,-0.247,0.22451,,BUY - 12|5|9,NEUTRAL - 9|8|9,SELL - 1|15|10,SELL - 4|12|10,Bullish  : 56.59,BUY,BUY,Bullish : 63.36,Bullish : 64.66,Weak Trend : 15.09,Neutral : 42.39,Bullish : 79.64,Bearish : -29.7,Bullish : 28.91,Bullish : 23.0,50.52,3537.73,31.012,107.02,DIXON TECHNOLOGIES,Watchlist,1,,2,3610.3,buy,45.347,-0.26,,,,49.927,
Industrials,HAVELLS,NEUTRAL,NEUTRAL,1133.3,1111.25,1504.45,986.9,59.515812,47.7984,2.52,12.840923,-0.127,0.21149999,2022-01-18 00:00:00,BUY - 12|5|9,NEUTRAL - 8|8|10,SELL - 5|12|9,SELL - 6|10|10,Bullish  : 59.92,BUY,BUY,Overbrought : 90.65,Overbrought : 81.19,Weak Trend : 18.38,Overbought : 257.37,Bullish : 12.17,Bullish : 31.4,Bullish : 1.3,Bearish : -4.5,61.0,1081.27,19.042,23.71,HAVELLS INDIA,Watchlist,1,,2.5,1133.3,buy,40.892,-0.127,,,,10.441,
Communication Services,NAUKRI,NEUTRAL,BUY,3816.95,3726.5,7465.4,3313.0,5.8071637,79.619316,-3.93,2.5397284,5.771,0.33385,2022-02-10 00:00:00,BUY - 12|5|9,BUY - 10|6|10,STRONG_SELL - 0|17|9,SELL - 6|10|10,Neutral : 54.58,SELL,SELL,Bullish : 48.26,Bullish : 41.72,Weak Trend : 14.97,Neutral : 25.79,Bullish : 36.85,Bearish : -102.5,Bullish : 19.58,Bullish : 25.61,56.12,3908.18,657.283,47.94,INFO EDGE,Watchlist,1,,2.6,3816.95,hold,258.199,5.768,,,,0.297,
Technology,INFY,NEUTRAL,NEUTRAL,1481.3,1479.4,1953.9,1367.15,30.1672,24.26372,2,658.94135,0.079,0.57688,2022-04-12 00:00:00,BUY - 12|4|10,NEUTRAL - 9|8|9,STRONG_SELL - 0|17|9,NEUTRAL - 7|9|10,Bullish  : 56.81,BUY,BUY,Overbrought : 85.62,Bullish : 75.96,Weak Trend : 11.48,Bullish  : 98.55,Bullish : 23.28,Bullish : 4.3,Bullish : 6.51,Bullish : 3.38,56.84,1443.24,49.103,61.05,INFOSYS LTD,Portfolio,600,,1.9,888780.0,buy,0.76,0.121,2,0.1545,0.28962,7.224,1.752
Industrials,LT,NEUTRAL,NEUTRAL,1578.0,1572.15,2078.55,1456.35,25.358767,27.286875,1.52,2.896635,-0.167,0.47652,2019-10-21 00:00:00,BUY - 12|4|10,NEUTRAL - 9|8|9,STRONG_SELL - 1|17|8,NEUTRAL - 7|9|10,Bullish  : 63.31,BUY,BUY,Overbrought : 89.48,Overbrought : 91.16,Weak Trend : 13.82,Bullish  : 108.28,Bullish : 32.89,Bullish : 37.65,Bullish : 8.18,Bearish : -0.14,66.5,1541.23,62.227,57.83,LARSEN & TOUBRO,Portfolio,575,,1.9,907350.0,buy,323.743,-0.168,,,,142.499,
Industrials,ASTRAL,NEUTRAL,NEUTRAL,1725.05,1657.65,2524.95,1581.55,61.11997,104.80256,,16.54883,0.033,0.1876,,BUY - 12|4|10,NEUTRAL - 8|8|10,STRONG_SELL - 0|16|10,NEUTRAL - 7|9|10,Bullish  : 59.92,BUY,BUY,Bullish : 73.43,Bullish : 56.91,Weak Trend : 15.23,Overbought : 207.31,Bullish : 16.23,Bullish : 25.0,Bullish : 3.75,Bearish : -3.26,58.82,1614.07,28.224,16.46,ASTRAL LTD,Watchlist,0,,3.1,0.0,hold,22.91,0.033,,,,4.408,
Financial Services,HDFCBANK,NEUTRAL,NEUTRAL,1353.75,1353.75,1725.0,1271.6,21.939064,14.048879,,3.334146,0.238,0.34702998,,BUY - 12|4|10,NEUTRAL - 10|7|9,SELL - 5|11|10,SELL - 6|12|8,Bullish  : 55.01,BUY,SELL,Bullish : 57.43,Bullish : 56.48,Weak Trend : 12.32,Bullish  : 66.59,Bullish : 17.13,Bearish : -2.9,Bullish : 4.39,Bullish : 3.06,60.34,1367.68,61.705,96.36,HDFC BANK,Watchlist,550,,1.6,744562.5,buy,279.733,0.23,,0.019450001,0.16642,,
Basic Materials,ULTRACEMCO,NEUTRAL,NEUTRAL,5714.95,5691.7,8269.0,5157.05,25.867462,41.70279,,3.5708106,0.476,0.22235,,BUY - 11|7|8,NEUTRAL - 9|9|8,STRONG_SELL - 0|16|10,SELL - 4|12|10,Bullish  : 64.17,BUY,BUY,Overbrought : 90.24,Overbrought : 90.96,Weak Trend : 14.38,Bullish  : 123.3,Bullish : 182.57,Bullish : 140.0,Bullish : 50.8,Bullish : 21.82,62.64,5495.4,220.932,137.04,ULTRATECH CEMENT,Watchlist,100,,1.8,571495.0,buy,184.457,0.476,0.868,0.0647,0.15166001,23.006,0.416
Real Estate,OBEROIRLTY,NEUTRAL,NEUTRAL,769.9,742.1,1051.9,636.15,30.405594,23.009565,0.61,2.881934,0.631,0.22513,,BUY - 11|7|8,NEUTRAL - 9|7|10,STRONG_SELL - 0|16|10,NEUTRAL - 8|11|7,Bullish  : 56.4,BUY,BUY,Bullish : 65.72,Bullish : 50.23,Weak Trend : 21.1,Bullish  : 142.77,Bearish : -10.47,Bullish : 16.95,Bearish : -3.68,Bearish : -7.08,50.74,727.59,25.321,33.46,OBEROI REALTY LTD,Watchlist,1,,2,769.9,buy,13.267,0.632,,,,21.548,
Basic Materials,TNPETRO,NEUTRAL,NEUTRAL,97.3,95.6,150.75,79.95,4.6306877,,,1.3022821,1.086,0.03754,,BUY - 11|6|9,NEUTRAL - 9|9|8,STRONG_SELL - 0|16|10,SELL - 6|10|10,Bullish  : 67.68,BUY,BUY,Overbrought : 92.58,Overbrought : 90.52,Strong Trend : 26.32,Bullish  : 146.85,Bullish : 4.77,Bullish : 8.1,Bullish : 1.41,Bullish : 0.13,57.88,90.19,21.012,,TAMILNADU PETRO PR,Watchlist,0,,2,0.0,buy,29.747,1.086,,,,10.12,
Consumer Cyclical,ORIENTELEC,NEUTRAL,NEUTRAL,273.0,272.75,408.0,244.0,37.51546,,,12.350147,-0.267,0.30392998,,BUY - 11|6|9,NEUTRAL - 9|7|10,SELL - 2|15|9,SELL - 4|12|10,Bullish  : 57.66,BUY,BUY,Bullish : 79.28,Bullish : 77.68,Strong Trend : 25.58,Bullish  : 85.79,Bullish : 5.44,Bullish : 2.8,Bullish : 1.3,Bearish : -0.15,46.53,260.18,7.277,,ORIENT ELECTRIC LT,Watchlist,0,,,0.0,none,1.602,-0.266,,,,18.606,
Basic Materials,GRASIM,NEUTRAL,NEUTRAL,1351.45,1347.25,1929.8,1276.6,14.497736,32.794224,,1.2564732,0.262,0.22221,2022-02-10 00:00:00,BUY - 11|6|9,NEUTRAL - 8|8|10,STRONG_SELL - 0|16|10,SELL - 5|12|9,Bullish  : 56.83,BUY,BUY,Bullish : 78.04,Bullish : 65.55,Weak Trend : 14.91,Bullish  : 104.84,Bullish : 12.63,Bullish : 2.85,Bullish : 2.1,Bearish : -1.46,53.94,1306.35,93.218,41.21,GRASIM INDUSTRIES,Watchlist,1,,1.6,1351.45,buy,289.606,0.261,,,,65.541,
Healthcare,AUROPHARMA,BUY,BUY,526.75,522.45,1006.7,503.45,5.9235973,8.456413,1.18,1.3185529,-0.795,0.25919,,BUY - 11|6|9,BUY - 10|7|9,SELL - 1|15|10,SELL - 3|14|9,Neutral : 53.52,BUY,SELL,Bullish : 57.34,Bullish : 46.77,Weak Trend : 14.76,Bullish  : 59.11,Bearish : -3.46,Bullish : 6.6,Bearish : -1.1,Bearish : -2.26,62.23,531.33,88.924,62.29,AUROBINDO PHARMA,Watchlist,1,,1.9,526.75,buy,76.747,-0.795,,,,20.354,
Financial Services,UTIAMC,STRONG_BUY,BUY,658.4,638.75,1216.2,595.0,13.307732,,,2.485307,-0.597,0.51495,,BUY - 11|6|9,BUY - 10|7|9,STRONG_SELL - 1|17|8,SELL - 3|10|9,Bullish  : 58.52,BUY,SELL,Bullish : 70.35,Bullish : 56.08,Weak Trend : 15.12,Bullish  : 165.89,Bullish : 7.23,Bullish : 16.4,Bullish : 1.66,Bearish : -1.52,57.07,662.0,49.475,,UTI Asset Mngmt Co Ltd,Watchlist,0,,,0.0,none,31.357,-0.599,3.837,0.10934,0.15597999,,3.434
Consumer Cyclical,EXIDEIND,NEUTRAL,NEUTRAL,142.6,141.4,204.9,130.25,15.284031,,,1.5921221,-0.261,0.21851999,,BUY - 11|5|10,SELL - 2|14|10,STRONG_SELL - 0|16|10,SELL - 2|14|10,Bullish  : 61.18,BUY,BUY,Overbrought : 98.98,Overbrought : 87.79,Weak Trend : 16.46,Bullish  : 145.29,Bullish : 1.34,Bullish : 3.8,Bullish : 0.4,Bearish : -0.42,60.53,137.71,9.33,,EXIDE INDUSTRIES,Watchlist,3600,,,513360.0,none,22.566,-0.261,,,,9.02,
Technology,REDINGTON,NEUTRAL,NEUTRAL,128.15,127.05,179.2,109.4,9.664404,8.469927,0.68,1.9790589,1.05,0.41682997,,BUY - 11|5|10,NEUTRAL - 9|7|10,SELL - 2|16|8,SELL - 6|10|10,Bullish  : 57.87,BUY,SELL,Overbrought : 80.04,Bullish : 75.87,Weak Trend : 17.77,Bullish  : 64.68,Bullish : 4.21,Bearish : -1.35,Bullish : 1.26,Bullish : 0.6,54.95,130.13,13.26,15.13,REDINGTON INDIA LT,Watchlist,0,,,0.0,none,55.52,1.037,,,,10.631,
Healthcare,LUPIN,NEUTRAL,NEUTRAL,629.2,628.3,1191.55,583.0,,15.417789,-8.46,2.387557,0.245,0.34754002,,BUY - 11|5|10,NEUTRAL - 8|8|10,SELL - 3|15|8,SELL - 2|14|10,Bullish  : 55.24,BUY,SELL,Bullish : 63.27,Bullish : 51.93,Weak Trend : 15.05,Neutral : 39.85,Bullish : 3.44,Bearish : -1.2,Bullish : 2.05,Bullish : 1.78,54.62,637.69,-14.48,40.81,LUPIN LTD,Watchlist,1,,2.9,629.2,hold,72.745,0.244,,,,48.7,
Communication Services,BHARTIARTL,BUY,BUY,683.0,673.45,781.8,521.1,123.32972,,,6.228227,-0.028,0.25242,,BUY - 11|5|10,BUY - 10|7|9,SELL - 3|13|10,NEUTRAL - 9|8|9,Bullish  : 56.77,BUY,SELL,Bullish : 65.28,Bullish : 65.96,Weak Trend : 17.36,Bullish  : 64.47,Bullish : 9.77,Bearish : -3.35,Bullish : 3.39,Bullish : 2.3,55.54,690.09,5.538,,BHARTI AIRTEL LTD,Watchlist,1851,,,1264233.0,none,24.828,-0.051,0.495,0.04024,0.07324,189.767,0.18
Healthcare,SUNPHARMA,NEUTRAL,NEUTRAL,831.85,829.25,967.05,664.2,33.080807,25.454405,0.83,4.044114,0.111,0.25171,,BUY - 10|7|9,STRONG_SELL - 1|17|8,BUY - 16|2|8,SELL - 7|10|9,Neutral : 51.7,BUY,SELL,Bullish : 41.17,Bullish : 48.95,Weak Trend : 20.2,Neutral : 20.6,Bullish : 6.04,Bearish : -3.2,Bearish : -0.02,Bearish : -1.41,42.78,846.71,25.146,32.68,SUN PHARMACEUTICAL,Watchlist,1400,,1.9,1164590.0,buy,44.05,0.114,,,,3.399,
Financial Services,INDUSINDBK,BUY,BUY,830.9,807.2,1242.0,763.2,16.299828,8.60323,0.94,1.4194077,,0.28679,,BUY - 10|7|9,STRONG_BUY - 16|0|10,SELL - 1|15|10,SELL - 5|14|7,Neutral : 53.93,BUY,BUY,Bullish : 77.39,Bullish : 69.44,Weak Trend : 21.03,Bullish  : 137.16,Bearish : -9.22,Bullish : 7.4,Bearish : -6.77,Bearish : -12.96,56.62,784.14,50.976,96.58,INDUSIND BANK LTD,Watchlist,1,,1.8,830.9,buy,,,,,,,
Industrials,ESCORTS,NEUTRAL,NEUTRAL,1519.95,1466.5,1934.0,1128.0,16.56513,16.22145,0.25,2.8098776,-0.323,0.16666001,2022-01-31 00:00:00,BUY - 10|7|9,SELL - 5|11|10,STRONG_SELL - 1|16|9,SELL - 6|10|10,Neutral : 53.15,BUY,BUY,Bullish : 77.41,Bullish : 67.71,Strong Trend : 26.83,Bullish  : 50.12,Bearish : -45.12,Bearish : -26.05,Bearish : -16.82,Bearish : -20.2,60.56,1311.14,91.756,93.7,ESCORTS KUBOTA LTD,Portfolio,550,,2.7,835972.5,hold,247.234,-0.326,,,,1.039,
